랜덤,문제,출처,정답,답안,,,,
0.6796702567,"민수기 8장 24-26절에서는 레위인의 회막에 들어가서 복무할 나이를 어떻게 규정하였는가?
 ① 30-40세                    ② 20-50세
 ③ 25-50세                    ④ 18-44세",민,3,3,TRUE,,1,3
0.1785917946,"아람, 북이스라엘, 에돔, 블레셋 사람의 침략을 받은 유다의 왕은?", 대하,아하스,아하스,TRUE,,1,3
0.3062455958,"가증한 아세라 목상을 만들었으므로 태후의 자리에서 폐위된 아사 왕의 어머니는?
  ① 마아가                               ② 나아마
  ③ 아달랴                               ④ 마할랏", 대하,1,1,TRUE,,1,3
0.2686681018,"기드온은 어느 지파 출신인가?
  ① 에브라임                           ② 므낫세
  ③ 유다                                ④ 베냐민",삿,2,2,TRUE,,1,3
0.3683756165,"압살롬을 피해 도망한 다윗이 마하나임에 도착한 후 백성을 세 그룹으로 나누어 세 사람에 맡겼다. 다음 중 그 세 사람이 아닌 사람은?
  ① 요압                              ② 아비새
  ③ 아마사                           ④ 잇대",삼하,3,3,TRUE,,1,3
0.2095924013,"""여호와여 내가 주를 불렀사오니 속히 내게 오시옵소서 내가 주께 부르짖을 때에 내 음성에 귀를 기울이소서 나의 (     ) 주의 앞에 분향함과 같이 되며 나의 손 드는 것이 저녁 제사 같이 되게 하소서""(시 141:1~2)는 말씀에서 괄호 안에 들어가는 말은?
① 고백이                                ② 기도가
③ 소원이                                ④ 찬양이
",시,2,2,TRUE,,1,
0.4297859206,"""그들이 욥을 (  )하고 (  )하려 하여 서로 약속하고 오더니 눈을 들어 멀리 보매 그가 욥인줄 알기 어렵게 되었으므로 그들이 일제히 소리 질러 울며 각각 자기의 겉옷을 찢고 하늘을 향하여 티끌을 날려 자기 머리에 뿌리고""(욥2:11-12)에서 괄호 안에 차례대로 들어갈 말은?
  ① 위문, 위로                          ② 조문, 문병
  ③ 슬퍼, 조문                          ④ 위문, 문병",욥,1,1,TRUE,,1,3
0.4024652731,"""(     ) 네 아비의 훈계를 들으며 네 어미의 법을 떠나지 말라"" (잠 1:8)의 괄호 안에 들어가 말은?
  ① 내 아들아                                      ② 내 딸아
  ③ 지혜로운 아들아                             ④ 지혜로운 여인아",잠,1,1,TRUE,,1,3
0.5428609717,"""(     )로 제사를 드리는 자가 나를 영화롭게 하나니 그의 행위를 옳게 하는 자에게 내가 하나님의 구원을 보이리라"" (시 50:23)는 말씀에서 괄호 안에 들어갈 말은?",시,감사,감사,TRUE,,1,3
0.677414734,"""주의 (     )은 내 발에 등이요 내 길에 빛이니이다"" (시 119:105)는 말씀에서 괄호 안에 들어갈 말은?",시,말씀,말씀,TRUE,,1,3
0.3516090968,"아도니야와 솔로몬이 왕위 계승 다툼을 할 때 아도니야를 추종한 다윗의 군대 장관은?
  ① 요압                                  ② 브나야
  ③ 아브넬                               ④ 아마사",왕상,1,1,TRUE,,1,3
0.5750275301,"""내가 주의 법을 어찌 그리 사랑하는지요 내가 그것을 (     ) 작은 소리로 읊조리나이다""(시 119:97)는 말씀에서 괄호 안에 들어가는 말은?
① 순간마다                                ② 항상
③ 종일                                      ④ 쉬지 않고
",시,3,3,TRUE,,1,3
0.6692678834,"""그들의 (     )들은 뇌물을 위하여 재판하며 그들의 (     )은 삯을 위하여 교훈하며 그들의 (     )는 돈을 위하여 점을 치면서도 여호와를 의뢰하여 이르기를 여호와께서 우리 중에 계시지 아니하냐 재앙이 우리에게 임하지 아니하리라 하는도다"" (미3:11)의 괄호 안에 차례대로 들어가는 말은?
  ① 우두머리 - 제사장 - 선지자                            ② 통치자 - 제사장 - 선지자
  ③ 제사장 - 레위인 - 통치자                               ④ 선지자 - 제사장 - 우두머리",미,1,1,TRUE,,1,3
0.7944134248,"누구든지 (  )의 예물을 드리려거든 고운 가루로 예물을 삼아 그 위에 기름을 붓고 또 그 위에 유향을 놓아 아론의 자손 제사장들에게로 가져갈 것이요""(레2:1)의 괄호에 들어갈 말은?
  ① 번제                ② 속죄제
  ③ 소제                ④ 화목제",레,3,3,TRUE,,1,3
0.99936434,"""기드온이 그들에게 이르되 (   ) 너희를 다스리지 아니하겠고 (  )너희를 다스리지 아니할 것이요 (  ) 너희를 다스리시리라 하니라""(삿8:23)의 괄호 안에 들어갈 말을 차례대로 적으시오. ",삿,"내가, 나의 아들도, 여호와께서","내가, 나의 아들도, 여호와께서",TRUE,,1,3
0.6367430804,"""우리를 끌어 그물에 걸리게 하시며 어려운 짐을 우리 허리에 매어 두셨으며 사람들이 우리 (     )를 타고 가게 하셨나이다 우리가 불과 물을 통과하였더니 주께서 우리를 끌어내사 풍부한 곳에 들이셨아니다""(시 66:11~12)는 말씀에서 괄호 안에 들어가는 말은?
① 허리                                ② 머리
③ 다리                                ④ 이마
",시,2,2,TRUE,,1,3
0.06722448698,"""여후디가 서기관 엘리사마의 방에서 가져다가 왕과 왕의 곁에 선 모든 고관의 귀에 낭독하니 … 여후디가 서너 쪽을 낭독하면 왕이 칼로 그것을 연하여 배어 화로 불에 던져서 두루마리를 모두 태웠더라""(렘36:21-23)에서 왕은 누구인가?
  ① 요시야                                                      ② 여호야김
  ③ 여호야긴                                                   ④ 시드기야",렘,2,2,TRUE,,1,
0.6988730862,"스가랴가 본 환상의 의미를 해석해 주는 이는 누구인가?
  ① 제사장                                         ② 천사
  ③ 레위인                                         ④ 지혜자",슥,2,2,TRUE,,1,3
0.02749834491,"""주께서 내 귀를 통하여 내게 들려 주시기를 제사와 예물을 기뻐하지 아니하시며 번제와 속죄제를 요구하지 아니하신다 하신지라 그 깨에 내가 말하기를 내가 왔나이다 나를 가리켜 기록한 것이 (       ) 책에 있나이다"" (시 40:6~7)는 말씀에서 괄호 안에 들어갈 말은?",시,두루마리,두루마리,TRUE,,1,3
0.2509167782,"""기드온이 그들에게 이르되 내가 이제 행한 일이 너희가 한 것에 비교되겠느냐 (  )의 끝물 포도가 (  )의 맏물포도보다 낫지 아니하냐""(삿8:2)의 괄호에 들어갈 말은?
 ① 에브라임 - 므낫세
 ② 에브라임 - 아비에셀
 ③ 므낫세 - 에브라임
 ④ 므낫세 - 아비에셀",삿,2,2,TRUE,,1,3
0.9258277952,"""이는 한 아기가 우리에게  났고 한 아들을 우리에게 주신 바 되었는데 그의 어깨에는 정사를 메었고 그의 이름은 기묘자라, 모사라, 전능하신 하나님이라, 영존하시는 아버지라, 평강의 왕이라 할 것임이라""는 말씀이 들어 있는 책은?
  ① 다니엘                                           ② 에스겔
  ③ 예레미야                                        ④ 이사야",사,4,4,TRUE,,1,3
0.3410590148,"""내 (     )의 하나님이여 내가 부를 때에 응답하소서 곤란 중에 나를 너그럽게 하셨사오니 내게 은혜를 베푸사 나의 (     )를 들으소서""(시 4:1)는 말씀에서 괄호 안에 차례대로 들어가는 말은?
① 자비, 간구                                ② 의, 기도
③ 공의, 간구                                ④ 긍휼, 기도
",시,2,2,TRUE,,1,3
0.09928516431,"욥이 자녀들이 죄를 범하였을까 하여 드렸던 제사는 무엇인가?
  ① 번제                            ② 화목제
  ③ 소제                            ④ 속죄제",욥,1,1,TRUE,,1,3
0.4311353519,"""다윗의 아들 예루살렘 왕 (     )의 말씀이라"" (전1:1)의 괄호 안에 들어가 말은?
  ① 솔로몬                                         ② 전도자
  ③ 지혜자                                         ④ 의인",전,2,2,TRUE,,1,3
0.3735839003,"""내가 내게 말하는 천사에게 묻되 그들이 에바를 어디로 옮겨 가나이까 하니 그가 내게 이르되 그들이 (     ) 땅으로 가서 그것을 위하여 집을 지으려 함이니라…."" (슥 5:10~11)의 괄호에 들어갈 말은?
  ① 애굽                                             ② 가나안
  ③ 이스라엘                                       ④ 시날",슥,4,4,TRUE,,1,3
0.4674659265,"""여호와여 내 (     )의 죄와 허물을 기억하지 마시고 주의 인자하심을 따라 주께서 나를 기억하시되 주의 선하심으로 하옵소서""(시 25:7)는 말씀에서 괄호 안에 들어가는 말은?
① 젊은 시절                                ② 중년 시설
③ 장년 시설                                ④ 노년 시절
",시,1,1,TRUE,,1,3
0.5922531558,"에스겔이 여호와의 명령을 따라 낮에 행장을 끌려가는 포로의 행장 같이 내놓고 저물 때에 손으로 성벽을 뚫고 캄캄할 때에 행장을 내다가 사람들의 목전에서 어때에 메고 나간 뜻은?
  ① 예루살렘이 함락되리라는 뜻
  ② 예루살렘 왕과 이스라엘 사람들이 사로잡혀 옮겨가리라는 뜻
  ③ 바벨론에 사로잡혀간 사람들이 곧 돌아오리라는 뜻
  ④ 시드기야 왕이 달아나리라는 뜻",겔,2,2,TRUE,,1,3
0.3298617948,"""또 새 영을 너희 속에 두고 (  ) 마음을 너희에게 주되 너희 육신에서 (  ) 마음을 제거하고 (  ) 마음을 줄 것이며""에서 괄호에 들어갈 말을 적당한 순서로 짝지은 것은?(겔36:27)
  ① 새 - 굳은 - 부드러운
  ② 새 - 악한 - 부드러운
  ③ 착한 - 굳은 - 부드러운
  ④ 새 - 악한 - 선한",겔,1,1,TRUE,,1,3
0.4582322651,"""주의 백성을 양 떼 같이 모세와 아론의 손으로 인도하셨나이다""는 표현으로 종결되는 시편은?
① 시 57편                                  ② 시 67편
③ 시 77편                                  ④ 시 87편
",시,3,3,TRUE,,1,3
0.182178995,"느부갓네살은 자기가 세운 신상 앞에 절하지 않는 세 유다 소년을 ""결박하여 극렬히 타는 (     ) 가운데에 던지라""(단 3:20)고 명령했다 괄호 안에 들어가야 할 낱말은?
  ",단,풀무불,풀무불,TRUE,,1,3
0.7217379943,레위 자손이 아닌 일반 백성으로 산당의 제사장을 삼은 이스라엘 왕의 이름은?,왕상,여로보암,여로보암,TRUE,,1,3
0.142452838,"""어찌하여 고난 당하는 자에게 (  )을 주셨으며 마음이 아픈 자에게 (  )을 주셨는고""(욥3:20)에서 괄호 안에 차례대로 들어갈 말은?
  ① 빛, 위로                            ② 빛, 생명
  ③ 어둠, 평안                         ④ 어둠, 슬픔",욥,2,2,TRUE,,1,
0.8067977522,"출애굽기 38장 21절에서는 '성막'을 다른 이름으로 무엇이라 불렀는가?
 ① 회막                      ② 성소
 ③ 증거막                    ④ 진",출,3,3,TRUE,,1,3
0.2303792126,"""이는 한 아기가 우리에게 났고 한 아들을 우리에게 주신 바 되었는데 그의 어깨에는 정사를 메었고 그의 이름은 기묘자라, 모사라, 전능하신 하나님이라, 영존하시는 아버지라, 평강의 (    )이라 할 것임이라"" (사 31:3)의 괄호 안에 들어가 말은?
  ",사,왕,왕,TRUE,,1,3
0.3667905247,"레위기 14장 2절에 따르면 나병환자가 정결하게 되는 날의 규례에서 가장 먼저 해야할 일은 무엇인가?
 ① 그 사람을 제사장에게로 데려 감
 ② 속건제 어린 숫양을 회막문으로 가져감
 ③ 옷을 빨고 모든 털을 밀고 물로 몸을 씻음
 ④ 속전을 계산하여 예물로 드림
",레,1,1,TRUE,,1,3
0.1225083846,"""여호와는 맹세하고 변하지 아니하시리리라 이르시기를 너는 멜기세덱의 서열을 따라 영원한 (     )이라 하셨도다"" (시 110:4)는 말씀에서 괄호 안에 들어갈 말은?",시,제사장,제사장,TRUE,,1,3
0.4547168993,"솔로몬의 대적자 하닷은 어느 족속인가?
  ① 에돔                             ② 모압
  ③ 암몬                             ④ 수리아",왕상,1,1,TRUE,,1,3
0.9520393765,"민수기 6장에서는 이스라엘 자손의 남자나 여자가 자기 몸을 구별하여 하나님께 드리려고 할 때, 자기 몸을 구별하는 모든 날 동안 관련 율법을 엄격하게 지켜야 하는 특별한 서원에 대하여 기록하고 있다. 이 서원을 하고 지키는 사람을 구약에서는 무엇이라고 부르는가?",민,나실인,나실인,TRUE,,1,3
0.5132636491,"창세기 15장에서 여호와의 말씀이 환상중에 아브람에게 임하였을 때, 여호와께서 아브람과 언약을 세워 그의 자손에게 주시겠다고 했던 땅의 경계로 언급된 곳은?(창15:18)
 ① 애굽 강에서 유브라데까지
 ② 시내광야에서 유브라데까지
 ③ 요단 강 동편과 서편 땅까지
 ④ 애굽 강에서 가나안 땅까지",창,1,1,TRUE,,1,3
0.6154763761,"""하늘의 신 여호와께서 세상 만국을 내게 주셨고 나에게 명령하여 유다 예루살렘에 성전을 건축하라 하셨나니""라고 말한 사람은 누구인가?", 대하,고레스,고레스,TRUE,,1,3
0.4451746299,"""너희 모든 나라들아 여호와를 찬양하며 너희 모든 백성들아 그를 찬송할지어다""는 시편 몇 편에 나오는 말씀인가?
① 시 117편                                ② 시 118편
③ 시 119편                                ④ 시 120편
",시,1,1,TRUE,,1,3
0.4814555003,"느헤미야가 예루살렘 성을 건축하려고 할 때 방해한 사람이 아닌 자는?
  ① 산발랏                              ② 도비야
  ③ 게셈                                 ④ 세스바살",느,4,4,TRUE,,1,3
0.5352509521,"""우리는 우리 조상들과 같이 주님 앞에서 이방 나그네와 거류민들이라 세상에 있는 날이 (  )같아서 희망이 없나이다""(대상 29:15)에서 (  )안에 들어갈 말은?
  ① 티끌                              ② 그림자
  ③ 낙엽                              ④ 유수",대상,2,2,TRUE,,1,3
0.7783314052,"""그는 홀로 하늘을 펴시며, 바다 물결을 밟으시며 북두성과 삼성과 묘성과 (  )의 밀실을 만드셨으며""(욥9:8-9)의 괄호에 들어갈 말은?
  ① 북방                               ② 남방
  ③ 서방                               ④ 동방",욥,2,2,TRUE,,1,
0.9410092231,벧세메스에서 유다왕 아마샤를 사로잡고 예루살렘에 이르러 예루살렘 성벽을 에브라임 문에서부터 성 모퉁이 문까지 사백 규빗을 헌 왕은?,왕하,요아스,요아스,TRUE,,1,3
0.6049957953,"""주 여호와의 영이 내게 내리셨으니 이는 여호와께서 내게 기름을 부으사 가난한 자에게 (          )을 전하게 하려하심이라"" (사 61:1)의 괄호 안에 들어가 말은?
  ",사,아름다운 소식,아름다운 소식,TRUE,,1,
0.02821892862,"다음은 레위기 17장 7절 본문이다. 괄호 안에 들어갈 낱말은 무엇인가?
""그들은 전에 음란하게 섬기던 (  )에게 다시 제사하지 말 것이니라 이는 그들이 대대로 지킬 영원한 규례니라""
  ① 송아지 우상            ② 숫염소
  ③ 이방신                   ④ 암양",레,2,2,TRUE,,1,3
0.7202208089,"솔로몬은 많은 외국 왕비들을 두어 나라를 부강하게 하였으나 그의 마음이 여호와를 버리고 이방 신들을 좇았으니 시돈 사람의 여신 (  )과 암몬 사람의 가증한 신 (  )을 좇았다. 괄호 안에 들어갈 말을 차례대로 바르게 적은 것은?
 ① 아스다롯, 밀곰
 ② 아스다롯, 그모스
 ③ 밀곰, 바알
 ④ 바알, 아스다롯",왕상,1,1,TRUE,,1,
0.9210647548,사무엘하에 의하면 다윗의 인구조사 사건으로 인하여 3일간 전염병이 발생하였을 때 다윗이 여호와께 제단을 쌓은 장소는 누구의 타작마당이었는가?,삼하,아라우나,아라우나,TRUE,,1,3
0.3446462301,"가나안 정탐꾼들이 정탐한 곳이 아닌 것은?
 ① 르홉                       ② 헤브론
 ③ 네겝                       ④ 예루살렘",민,4,4,TRUE,,1,3
